,key,isMeta,bojTagId,problemCount,tag_name,tag_short
0,arithmetic,False,121,585,사칙연산,사칙연산
1,implementation,False,102,3456,구현,구현
2,math,False,124,3849,수학,수학
3,geometry,False,100,843,기하학,기하학
4,dp,False,25,2415,다이나믹 프로그래밍,다이나믹 프로그래밍
5,graphs,False,7,2261,그래프 이론,그래프 이론
6,topological_sorting,False,78,109,위상 정렬,위상 정렬
7,bruteforcing,False,125,1301,브루트포스 알고리즘,브루트포스 알고리즘
8,combinatorics,False,6,493,조합론,조합론
9,bfs,False,126,655,너비 우선 탐색,너비 우선 탐색
10,dfs,False,127,530,깊이 우선 탐색,깊이 우선 탐색
11,graph_traversal,False,11,1239,그래프 탐색,그래프 탐색
12,regex,False,63,21,정규 표현식,정규 표현식
13,string,False,158,1554,문자열,문자열
14,bitmask,False,14,391,비트마스킹,비트마스킹
15,dp_bitfield,False,87,178,비트필드를 이용한 다이나믹 프로그래밍,비트필드를 이용한 다이나믹 프로그래밍
16,flow,False,45,195,최대 유량,최대 유량
17,sorting,False,97,1046,정렬,정렬
18,number_theory,False,95,841,정수론,정수론
19,primality_test,False,9,198,소수 판정,소수 판정
20,sieve,False,67,129,에라토스테네스의 체,에라토스테네스의 체
21,bipartite_matching,False,13,123,이분 매칭,이분 매칭
22,data_structures,False,175,2218,자료 구조,자료 구조
23,deque,False,73,64,덱,덱
24,greedy,False,33,1334,그리디 알고리즘,그리디 알고리즘
25,divide_and_conquer,False,24,284,분할 정복,분할 정복
26,recursion,False,62,149,재귀,재귀
27,euclidean,False,26,108,유클리드 호제법,유클리드 호제법
28,ad_hoc,False,109,503,애드 혹,애드 혹
29,arbitrary_precision,False,117,170,임의 정밀도 / 큰 수 연산,임의 정밀도 / 큰 수 연산
30,backtracking,False,5,303,백트래킹,백트래킹
31,parsing,False,96,316,파싱,파싱
32,disjoint_set,False,81,291,분리 집합,분리 집합
33,mitm,False,46,64,중간에서 만나기,중간에서 만나기
34,mst,False,49,119,최소 스패닝 트리,최소 스패닝 트리
35,line_intersection,False,42,56,선분 교차 판정,선분 교차 판정
36,sweeping,False,106,280,스위핑,스위핑
37,prefix_sum,False,139,480,누적 합,누적 합
38,simulation,False,141,575,시뮬레이션,시뮬레이션
39,binary_search,False,12,749,이분 탐색,이분 탐색
40,dijkstra,False,22,364,다익스트라,다익스트라
41,floyd_warshall,False,31,103,플로이드–와샬,플로이드–와샬
42,priority_queue,False,59,254,우선순위 큐,우선순위 큐
43,convex_hull,False,20,97,볼록 껍질,볼록 껍질
44,pythagoras,False,60,43,피타고라스 정리,피타고라스 정리
45,fft,False,28,85,고속 푸리에 변환,고속 푸리에 변환
46,trees,False,120,830,트리,트리
47,case_work,False,137,410,많은 조건 분기,많은 조건 분기
